,aum_savings,aum_inheritance,aum_real_estate_value,age,inheritance_age,secondary_school_graduation_age,number_of_universities,earliest_university_graduation_age,latest_university_graduation_age,total_years_of_employment,num_jobs,longest_job_duration,average_salary,most_recent_job_end_age,most_recent_job_start_age,total_property_count,total_property_value,num_property_types,max_property_value,min_property_value,marital_status_divorced,marital_status_married,marital_status_single,marital_status_widowed,inheritance_details_profession_,inheritance_details_profession_Corporate Lawyer,inheritance_details_profession_Hedge Fund Manager,inheritance_details_profession_Investment Banker,inheritance_details_profession_Neurosurgeon,inheritance_details_profession_Oil and Gas Executive,inheritance_details_profession_Private Equity Manager,inheritance_details_profession_Real Estate Developer,inheritance_details_profession_Stock Trader,inheritance_details_profession_Tech Entrepreneur,inheritance_details_profession_Venture Capitalist,inheritance_details_relationship_,inheritance_details_relationship_father,inheritance_details_relationship_grandfather,inheritance_details_relationship_grandmother,inheritance_details_relationship_mother,investment_risk_profile_,investment_risk_profile_Aggressive,investment_risk_profile_Balanced,investment_risk_profile_Conservative,investment_risk_profile_Considerable,investment_risk_profile_High,investment_risk_profile_Low,investment_risk_profile_Moderate,investment_horizon_1-10 months,investment_horizon_1-2 months,investment_horizon_1-3 months,investment_horizon_1-4 months,investment_horizon_1-5 months,investment_horizon_1-6 months,investment_horizon_1-7 months,investment_horizon_1-8 months,investment_horizon_1-9 months,investment_horizon_10 months,investment_horizon_10 weeks,investment_horizon_2 months,investment_horizon_2 weeks,investment_horizon_3 months,investment_horizon_3 weeks,investment_horizon_4 months,investment_horizon_4 weeks,investment_horizon_5 months,investment_horizon_5 weeks,investment_horizon_6 months,investment_horizon_6 weeks,investment_horizon_7 months,investment_horizon_7 weeks,investment_horizon_8 months,investment_horizon_8 weeks,investment_horizon_9 months,investment_horizon_9 weeks,investment_horizon_Long-Term,investment_horizon_Medium,investment_horizon_Short,investment_experience_Experienced,investment_experience_Expert,investment_experience_Inexperienced,type_of_mandate_,type_of_mandate_Advisory,type_of_mandate_Discretionary,type_of_mandate_Execution-Only,type_of_mandate_Hybrid,currency_CHF,currency_DKK,currency_EUR,Spain,Denmark,Germany,Italy,Netherlands,France,Finland,Switzerland,Belgium,Austria
20,270000,17650000,0,29,23.0,18,1,24.0,24.0,6,1,6,304000.0,23.0,17.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,720000,0,1977000,67,,18,1,23.0,23.0,32,4,19,136750.0,52.0,33.0,2,1977000,1,1117000,860000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
22,960000,0,1730000,62,,19,1,25.0,25.0,35,3,31,206333.33333333334,26.0,-5.0,2,1730000,1,930000,800000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
23,100000,1140000,4030000,36,32.0,18,1,25.0,25.0,12,2,7,65000.0,28.0,21.0,2,4030000,2,2440000,1590000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
24,4680000,0,5398000,61,,20,1,24.0,24.0,37,2,36,1232500.0,27.0,-9.0,3,5398000,3,2070000,1308000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
25,110000,400000,3585000,34,29.0,19,1,25.0,25.0,11,1,11,107000.0,23.0,12.0,3,3585000,2,1952000,783000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
26,40000,0,2460000,32,,18,2,23.0,27.0,8,1,8,42000.0,23.0,15.0,3,2460000,2,910000,700000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
27,630000,6240000,0,54,42.0,19,1,25.0,25.0,28,4,16,124750.0,59.0,43.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28,750000,870000,3960000,52,33.0,19,1,23.0,23.0,27,3,21,175000.0,28.0,7.0,3,3960000,3,1690000,1010000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
29,590000,3990000,4280000,53,36.0,20,1,24.0,24.0,29,2,26,174500.0,28.0,2.0,2,4280000,2,2460000,1820000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
30,830000,420000,1540000,53,37.0,20,1,23.0,23.0,29,3,24,193333.33333333334,28.0,4.0,1,1540000,1,1540000,1540000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31,0,2350000,0,22,17.0,20,1,23.0,23.0,0,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
32,20000,1240000,0,27,20.0,19,1,25.0,25.0,3,2,2,51000.0,28.0,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
33,140000,780000,7400000,36,31.0,18,1,22.0,22.0,10,2,6,90500.0,28.0,22.0,3,7400000,2,2750000,2200000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
34,1130000,410000,5380000,54,45.0,20,1,23.0,23.0,28,4,21,198500.0,59.0,38.0,3,5380000,2,2260000,1390000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
35,40000,980000,750000,33,24.0,19,2,23.0,27.0,7,2,4,37500.0,28.0,25.0,1,750000,1,750000,750000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
36,0,15110000,0,24,18.0,19,1,23.0,23.0,0,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
37,0,1440000,0,23,14.0,20,1,24.0,24.0,0,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
38,320000,4220000,5780000,30,23.0,18,1,22.0,22.0,6,2,4,345000.0,28.0,24.0,3,5780000,3,2710000,1120000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
39,690000,1800000,2820000,59,44.0,19,1,25.0,25.0,63,2,32,215000.0,28.0,-4.0,2,2820000,2,1420000,1400000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
40,100000,670000,2850000,33,24.0,20,1,23.0,23.0,10,2,5,64500.0,28.0,23.0,2,2850000,2,2000000,850000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
41,700000,1580000,2190000,46,30.0,18,1,22.0,22.0,19,4,15,171250.0,58.0,43.0,1,2190000,1,2190000,2190000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
42,0,2740000,0,21,14.0,19,0,,,0,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
43,1010000,1960000,980000,52,35.0,17,1,24.0,24.0,25,5,12,225000.0,57.0,45.0,1,980000,1,980000,980000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
44,910000,0,4391000,69,,18,1,23.0,23.0,32,3,25,189333.33333333334,19.0,-6.0,2,4391000,2,3030000,1361000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,1020000,2930000,0,56,38.0,20,2,25.0,27.0,30,3,28,222000.0,28.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
46,130000,0,3350000,37,,17,1,24.0,24.0,10,3,5,72666.66666666667,28.0,23.0,2,3350000,2,1990000,1360000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
47,0,2460000,0,21,12.0,19,0,,,0,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
48,60000,8250000,2740000,30,24.0,19,1,25.0,25.0,7,2,4,51500.0,28.0,24.0,2,2740000,2,1430000,1310000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
49,560000,6450000,3470000,50,40.0,18,1,24.0,24.0,19,5,6,143000.0,57.0,51.0,2,3470000,2,2010000,1460000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
50,10000,1130000,0,26,17.0,19,1,24.0,24.0,2,1,2,26000.0,23.0,21.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
51,200000,450000,1050000,46,35.0,19,1,25.0,25.0,22,2,18,74500.0,28.0,10.0,1,1050000,1,1050000,1050000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
52,2280000,630000,2780000,55,45.0,19,1,25.0,25.0,28,5,23,316600.0,59.0,36.0,2,2780000,2,1860000,920000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
