aum_savings,aum_inheritance,aum_real_estate_value,number_of_children,summary_type,age,inheritance_age,secondary_school_graduation_age,number_of_universities,earliest_university_graduation_age,latest_university_graduation_age,total_years_of_employment,total_gap_years,num_jobs,num_jobs_squared,longest_job_duration,longest_job_duration_sin,longest_job_duration_cos,shortest_job_duration,maximum_salary,minimum_salary,average_salary,most_recent_job_end_age,most_recent_job_start_age,total_property_count,total_property_value,num_property_types,max_property_value,min_property_value,marital_status_divorced,marital_status_married,marital_status_single,marital_status_widowed,inheritance_details_profession_,inheritance_details_profession_Corporate Lawyer,inheritance_details_profession_Hedge Fund Manager,inheritance_details_profession_Investment Banker,inheritance_details_profession_Neurosurgeon,inheritance_details_profession_Oil and Gas Executive,inheritance_details_profession_Private Equity Manager,inheritance_details_profession_Real Estate Developer,inheritance_details_profession_Stock Trader,inheritance_details_profession_Tech Entrepreneur,inheritance_details_profession_Venture Capitalist,inheritance_details_relationship_,inheritance_details_relationship_father,inheritance_details_relationship_grandfather,inheritance_details_relationship_grandmother,inheritance_details_relationship_mother,investment_risk_profile_,investment_risk_profile_Considerable,investment_risk_profile_High,investment_risk_profile_Low,investment_risk_profile_Moderate,investment_horizon_Long-Term,investment_horizon_Medium,investment_horizon_Short,investment_experience_Experienced,investment_experience_Expert,investment_experience_Inexperienced,type_of_mandate_Advisory,type_of_mandate_Discretionary,currency_CHF,currency_DKK,currency_EUR,Spain,Denmark,Germany,Italy,Netherlands,France,Finland,Switzerland,Belgium,Austria
420000,220000,1580000,2,1,48,31.0,19,1,23.0,23.0,21,2,4,16,12,0.8660254037844387,-0.4999999999999998,2,313000,39000,11.661354090741,48.0,36.0,1,14.272936037914342,1,1580000,1580000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
830000,0,1060000,1,4,65,,17,1,24.0,24.0,35,2,2,4,33,-0.49999999999999967,0.8660254037844388,2,392000,35000,12.271396795480596,60.0,27.0,1,13.87378040948403,1,1060000,1060000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3560000,11010000,4900000,1,1,60,48.0,20,1,24.0,24.0,35,1,2,4,34,-0.3420201433256686,0.9396926207859084,1,1905000,278000,13.903064371142124,61.0,27.0,3,15.404745967162468,3,1910000,1230000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
10000,17480000,0,0,1,26,22.0,20,1,24.0,24.0,2,0,1,1,2,0.3420201433256687,0.9396926207859084,2,41000,41000,10.62135173563291,27.0,25.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
770000,1170000,710000,3,3,54,42.0,18,1,22.0,22.0,28,2,3,9,25,-0.9396926207859084,-0.34202014332566855,1,441000,26000,12.029739124610693,54.0,29.0,1,13.47302165746721,1,710000,710000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
5320000,560000,3723000,3,9,55,36.0,18,1,25.0,25.0,28,4,3,9,22,-0.6427876096865389,-0.7660444431189783,1,3058000,318000,14.05321504904577,56.0,34.0,3,15.130040621455409,2,1549000,1074000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
240000,1180000,3300000,3,9,39,34.0,20,1,23.0,23.0,15,0,3,9,9,1.0,6.123233995736766e-17,1,146000,41000,11.385103457032141,40.0,31.0,3,15.009433329466965,3,1420000,760000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
270000,17650000,0,0,8,29,23.0,18,1,24.0,24.0,6,0,1,1,6,0.8660254037844386,0.5000000000000001,6,304000,304000,12.624786269856633,30.0,24.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
720000,0,1977000,3,2,67,,18,1,23.0,23.0,32,5,4,16,19,-0.17364817766693003,-0.9848077530122081,3,388000,24000,11.82591703287175,61.0,42.0,2,14.497091607969521,1,1117000,860000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
960000,0,1730000,3,2,62,,19,1,25.0,25.0,35,2,3,9,31,-0.7660444431189781,0.6427876096865393,2,540000,32000,12.237253109513535,61.0,30.0,2,14.363632544508476,1,930000,800000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
100000,1140000,4030000,2,0,36,32.0,18,1,25.0,25.0,12,1,2,4,7,0.9396926207859083,0.3420201433256688,5,80000,50000,11.082157933374816,37.0,30.0,2,15.209277182061793,2,2440000,1590000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
4680000,0,5398000,0,2,61,,20,1,24.0,24.0,37,0,2,4,36,-2.4492935982947064e-16,1.0,1,2206000,259000,14.02455599625768,61.0,25.0,3,15.501539257813867,3,2070000,1308000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
110000,400000,3585000,2,3,34,29.0,19,1,25.0,25.0,11,0,1,1,11,0.9396926207859084,-0.3420201433256685,11,107000,107000,11.580593459194764,35.0,24.0,3,15.092269310955846,2,1952000,783000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
40000,0,2460000,0,1,32,,18,2,23.0,27.0,8,0,1,1,8,0.984807753012208,0.17364817766693041,8,42000,42000,10.645448706505872,33.0,25.0,3,14.715672314412528,2,910000,700000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
630000,6240000,0,0,3,54,42.0,19,1,25.0,25.0,28,3,4,16,16,0.3420201433256689,-0.9396926207859083,2,330000,26000,11.7340750296137,55.0,39.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
750000,870000,3960000,0,2,52,33.0,19,1,23.0,23.0,27,1,3,9,21,-0.5000000000000001,-0.8660254037844386,2,425000,41000,12.07254696717504,53.0,32.0,3,15.191754835755884,3,1690000,1010000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
590000,3990000,4280000,3,0,53,36.0,20,1,24.0,24.0,29,1,2,4,26,-0.984807753012208,-0.17364817766693033,3,310000,39000,12.069685751267224,54.0,28.0,2,15.269463801202813,2,2460000,1820000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
830000,420000,1540000,3,9,53,37.0,20,1,23.0,23.0,29,1,3,9,24,-0.8660254037844385,-0.5000000000000004,1,474000,47000,12.172176266254908,54.0,30.0,1,14.24729362374025,1,1540000,1540000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,2350000,0,0,6,22,17.0,20,1,23.0,23.0,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
20000,1240000,0,0,9,27,20.0,19,1,25.0,25.0,3,1,2,4,2,0.3420201433256687,0.9396926207859084,1,58000,44000,10.839600519357369,28.0,27.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
140000,780000,7400000,2,1,36,31.0,18,1,22.0,22.0,10,2,2,4,6,0.8660254037844386,0.5000000000000001,4,114000,67000,11.413116179350727,36.0,30.0,3,15.816990693309524,2,2750000,2200000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
40000,980000,750000,2,3,33,24.0,19,2,23.0,27.0,7,2,2,4,4,0.6427876096865393,0.766044443118978,3,46000,29000,10.53212287826962,33.0,30.0,1,13.527829818844937,1,750000,750000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,15110000,0,0,7,24,18.0,19,1,23.0,23.0,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
0,1440000,0,0,6,23,14.0,20,1,24.0,24.0,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
320000,4220000,5780000,0,2,30,23.0,18,1,22.0,22.0,6,1,2,4,4,0.6427876096865393,0.766044443118978,2,425000,265000,12.75130259456002,30.0,26.0,3,15.569914413658926,3,2710000,1120000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
700000,1580000,2190000,0,4,46,30.0,18,1,22.0,22.0,19,2,4,16,15,0.5000000000000003,-0.8660254037844385,1,507000,40000,12.05088559552348,45.0,30.0,1,14.599412558413583,1,2190000,2190000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,2740000,0,0,6,21,14.0,19,0,,,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1010000,1960000,980000,0,3,52,35.0,17,1,24.0,24.0,25,1,5,25,12,0.8660254037844387,-0.4999999999999998,2,748000,37000,12.323860125621126,50.0,38.0,1,13.795308871054397,1,980000,980000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
910000,0,4391000,3,3,69,,18,1,23.0,23.0,32,4,3,9,25,-0.9396926207859084,-0.34202014332566855,3,496000,29000,12.151269690711372,60.0,35.0,2,15.295067777282386,2,3030000,1361000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1020000,2930000,0,2,1,56,38.0,20,2,25.0,27.0,30,2,3,9,28,-0.9848077530122081,0.17364817766692997,1,572000,37000,12.310437165348775,57.0,29.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
130000,0,3350000,0,8,37,,17,1,24.0,24.0,10,4,3,9,5,0.766044443118978,0.6427876096865394,1,131000,36000,11.193651814476318,37.0,32.0,2,15.024471202308668,2,1990000,1360000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,2460000,0,0,5,21,12.0,19,0,,,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
60000,8250000,2740000,0,1,30,24.0,19,1,25.0,25.0,7,0,2,4,4,0.6427876096865393,0.766044443118978,3,63000,40000,10.849356503939038,31.0,27.0,2,14.82346884332769,2,1430000,1310000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
560000,6450000,3470000,0,2,50,40.0,18,1,24.0,24.0,19,6,5,25,6,0.8660254037844386,0.5000000000000001,1,342000,42000,11.870606902224587,48.0,42.0,2,15.05966544010744,2,2010000,1460000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
10000,1130000,0,0,1,26,17.0,19,1,24.0,24.0,2,0,1,1,2,0.3420201433256687,0.9396926207859084,2,26000,26000,10.165890277802454,27.0,25.0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
200000,450000,1050000,3,4,46,35.0,19,1,25.0,25.0,22,1,2,4,18,1.2246467991473532e-16,-1.0,4,125000,24000,11.218567827096358,47.0,29.0,1,13.864301674514206,1,1050000,1050000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2280000,630000,2780000,1,9,55,45.0,19,1,25.0,25.0,28,4,5,25,23,-0.7660444431189779,-0.6427876096865395,1,1349000,26000,12.665397584983758,56.0,33.0,2,14.837961845378985,2,1860000,920000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
400000,3010000,2780000,2,4,45,30.0,18,1,23.0,23.0,21,1,3,9,16,0.3420201433256689,-0.9396926207859083,1,248000,34000,11.6172944892629,46.0,30.0,2,14.837961845378985,2,1872000,908000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,2630000,0,0,7,24,17.0,19,1,25.0,25.0,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
350000,2240000,6070000,3,4,47,37.0,19,1,24.0,24.0,24,0,2,4,23,-0.7660444431189779,-0.6427876096865395,1,200000,29000,11.648338835562747,48.0,25.0,3,15.618869327780313,2,3290000,1384000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
50000,160000,1701000,1,0,34,25.0,19,1,23.0,23.0,9,1,2,4,5,0.766044443118978,0.6427876096865394,4,54000,27000,10.609081944147828,34.0,29.0,2,14.346727459267303,1,980000,721000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,1780000,0,0,7,22,17.0,19,0,,,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1070000,1230000,4370000,2,1,57,,20,2,23.0,29.0,31,3,4,16,18,1.2246467991473532e-16,-1.0,3,586000,26000,12.148183965110482,58.0,40.0,3,15.2902737959047,3,2040000,640000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1040000,0,2250000,2,4,64,,18,1,24.0,24.0,35,1,2,4,34,-0.3420201433256686,0.9396926207859084,1,534000,58000,12.598118111678868,61.0,27.0,1,14.626441218624949,1,2250000,2250000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
1860000,0,1808000,1,8,70,,18,1,24.0,24.0,33,3,4,16,26,-0.984807753012208,-0.17364817766693033,1,991000,38000,12.573320004015606,61.0,35.0,2,14.40773237303145,2,1210000,598000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
970000,120000,3110000,2,9,58,38.0,18,1,22.0,22.0,33,1,2,4,32,-0.6427876096865396,0.7660444431189778,1,526000,65000,12.596427499917318,58.0,26.0,1,14.950133605698774,1,3110000,3110000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
120000,670000,2230000,1,2,38,31.0,19,1,25.0,25.0,13,1,3,9,6,0.8660254037844386,0.5000000000000001,2,104000,31000,10.996545555790876,39.0,33.0,1,14.617512591866694,1,2230000,2230000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
10000,2150000,0,0,3,26,22.0,18,1,23.0,23.0,2,1,2,4,1,0.17364817766693033,0.984807753012208,1,50000,32000,10.62135173563291,27.0,26.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
670000,890000,11080000,0,1,41,24.0,19,1,24.0,24.0,16,2,3,9,12,0.8660254037844387,-0.4999999999999998,1,453000,64000,12.225880174775122,42.0,30.0,3,16.220652329536115,3,5630000,2090000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
6270000,0,0,1,3,70,,18,1,25.0,25.0,32,4,5,25,15,0.5000000000000003,-0.8660254037844385,3,3875000,357000,14.028200459781736,61.0,46.0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
70000,2000000,740000,0,3,34,26.0,18,1,24.0,24.0,11,0,1,1,11,0.9396926207859084,-0.3420201433256685,11,53000,53000,10.87806606028079,34.0,23.0,1,13.51440681653079,1,740000,740000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
850000,1080000,1550000,3,9,51,42.0,18,2,25.0,28.0,27,1,3,9,24,-0.8660254037844385,-0.5000000000000004,1,534000,40000,12.264346270624157,52.0,28.0,2,14.253766134056512,2,780000,770000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
570000,7730000,860000,3,1,49,32.0,20,1,25.0,25.0,26,0,3,9,20,-0.34202014332566866,-0.9396926207859084,1,364000,0,11.856522261533737,50.0,30.0,1,13.664688831019712,1,860000,860000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
150000,640000,3478000,3,0,41,32.0,19,1,25.0,25.0,17,1,2,4,12,0.8660254037844387,-0.4999999999999998,5,115000,27000,11.170449240431308,42.0,30.0,3,15.061968261417888,1,1366000,842000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,2740000,0,0,5,22,13.0,18,0,,,0,0,0,0,0,0.0,1.0,0,0,0,,,,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
